section,category,task_family,g1_count,g2_count,other_count,total_count
task_family,pick_or_pick_up,pick_billards_of_specific_color,4,4,0,8
task_family,pick_or_pick_up,pick_building_block_of_specific_color,5,5,0,10
task_family,pick_or_pick_up,pick_building_block_of_specific_shape,0,7,0,7
task_family,pick_or_pick_up,pick_building_block_of_specific_size,6,6,0,12
task_family,pick_or_pick_up,pick_building_block_with_specific_number,0,10,0,10
task_family,pick_or_pick_up,pick_fruit_of_specific_size,0,10,0,10
task_family,pick_or_pick_up,pick_object_with_specific_type,0,5,0,5
task_family,pick_or_pick_up,pick_pen_of_specific_color,5,5,0,10
task_family,pick_or_pick_up,pick_specific_object,1,1,0,2
task_family,pick_or_pick_up,pick_the_object_at_specific_position,1,1,0,2
task_family,pick_or_pick_up,pick_up_the_stationery,0,1,0,1
task_family,pick_or_pick_up,pick_up_with_and_command,0,1,0,1
task_family,pick_or_pick_up,pick_up_with_common_sense,0,101,0,101
task_family,pick_or_pick_up,pick_up_with_not_command,0,12,0,12
task_family,pick_or_pick_up,pick_up_with_or_command,0,31,0,31
task_family,place,place_blocks_into_box,15,15,0,30
task_family,place,place_object_into_box_at_the_specific_position,5,2,0,7
task_family,place,place_object_into_box_of_specific_color,10,5,0,15
task_family,place,place_object_into_box_of_specific_size,5,2,0,7
task_family,put,put_the_pen_into_the_pen_holder,0,1,0,1
task_family,sort,sort_fruit,6,6,0,12
task_family,straighten,straighten_object,0,0,1,1
category_total,pick_or_pick_up,,22,200,0,222
category_total,place,,35,24,0,59
category_total,put,,0,1,0,1
category_total,sort,,6,6,0,12
category_total,straighten,,0,0,1,1
grand_total,all,,63,231,1,295
