config_name,sub_task_name,instruction,instance_id,camera,source_image,source_dir,output_image,status
g1op_s2r_bimanual_chip_handover,bimanual_chip_handover,Left hand passes the chips to the right hand,2,head,/home/user/djy/genie_sim/task_previews/g1op_s2r_bimanual_chip_handover/head.png,/home/user/djy/genie_sim/task_previews/g1op_s2r_bimanual_chip_handover,/home/user/djy/genie_sim/task_previews_with_instructions/g1op_s2r_bimanual_chip_handover.png,ok
g1op_s2r_grasp_targets,pick_specific_object,Right arm picks up the mouse on the table,14,head,/home/user/djy/genie_sim/task_previews/g1op_s2r_grasp_targets/head.png,/home/user/djy/genie_sim/task_previews/g1op_s2r_grasp_targets,/home/user/djy/genie_sim/task_previews_with_instructions/g1op_s2r_grasp_targets.png,ok
g1op_s2r_organize_items,place_object_into_box_color,"Left arm picks up the apple on the table, Place the object into the green storage box",2,head,/home/user/djy/genie_sim/task_previews/g1op_s2r_organize_items/head.png,/home/user/djy/genie_sim/task_previews/g1op_s2r_organize_items,/home/user/djy/genie_sim/task_previews_with_instructions/g1op_s2r_organize_items.png,ok
g1op_s2r_pack_in_supermarket,pack_in_supermarket,Pack objects on the desk,2,head,/home/user/djy/genie_sim/task_previews/g1op_s2r_pack_in_supermarket/head.png,/home/user/djy/genie_sim/task_previews/g1op_s2r_pack_in_supermarket,/home/user/djy/genie_sim/task_previews_with_instructions/g1op_s2r_pack_in_supermarket.png,ok
g1op_s2r_place_block_into_drawer,place_block_into_drawer,Open the drawer and place items inside,2,head,/home/user/djy/genie_sim/task_previews/g1op_s2r_place_block_into_drawer/head.png,/home/user/djy/genie_sim/task_previews/g1op_s2r_place_block_into_drawer,/home/user/djy/genie_sim/task_previews_with_instructions/g1op_s2r_place_block_into_drawer.png,ok
g1op_s2r_select_color,pick_block_color,Left arm picks up red block on the table,3,head,/home/user/djy/genie_sim/task_previews/g1op_s2r_select_color/head.png,/home/user/djy/genie_sim/task_previews/g1op_s2r_select_color,/home/user/djy/genie_sim/task_previews_with_instructions/g1op_s2r_select_color.png,ok
g1op_s2r_size_recognize,pick_block_size,Left arm picks up the largest block on the table,27,head,/home/user/djy/genie_sim/task_previews/g1op_s2r_size_recognize/head.png,/home/user/djy/genie_sim/task_previews/g1op_s2r_size_recognize,/home/user/djy/genie_sim/task_previews_with_instructions/g1op_s2r_size_recognize.png,ok
g1op_s2r_sort_fruit,sort_fruit,Place fruits into corresponding storage boxes by type,6,head,/home/user/djy/genie_sim/task_previews/g1op_s2r_sort_fruit/head.png,/home/user/djy/genie_sim/task_previews/g1op_s2r_sort_fruit,/home/user/djy/genie_sim/task_previews_with_instructions/g1op_s2r_sort_fruit.png,ok
g2op_if_pick_billiards_color,pick_billiards_color,Right arm picks up red billiard balls on the table,14,head,/home/user/djy/genie_sim/task_previews/g2op_if_pick_billiards_color/head.png,/home/user/djy/genie_sim/task_previews/g2op_if_pick_billiards_color,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_if_pick_billiards_color.png,ok
g2op_if_pick_block_color,pick_block_color,Left arm picks up red block on the table,3,head,/home/user/djy/genie_sim/task_previews/g2op_if_pick_block_color/head.png,/home/user/djy/genie_sim/task_previews/g2op_if_pick_block_color,/home/user/djy/genie_sim/task_previews_with_instructions/g2op_if_pick_block_color.png,ok
